Domain,Area,Element,Months,Year,Value
"Temperature change on land","Central America","Temperature change","May","1988","0.293"
"Temperature change on land","Central America","Temperature change","May","1989","0.794"
"Temperature change on land","Central America","Temperature change","May","1990","0.732"
"Temperature change on land","Central America","Temperature change","May","1991","0.531"
"Temperature change on land","Central America","Temperature change","May","1992","-0.37"
"Temperature change on land","Central America","Temperature change","May","1993","-0.005"
"Temperature change on land","Central America","Temperature change","May","1994","0.57"
"Temperature change on land","Central America","Temperature change","May","1995","0.843"
"Temperature change on land","Central America","Temperature change","May","1996","1.287"
"Temperature change on land","Central America","Temperature change","May","1997","0.486"
"Temperature change on land","Central America","Temperature change","May","1998","1.193"
"Temperature change on land","Central America","Temperature change","May","1999","0.654"
"Temperature change on land","Central America","Temperature change","May","2000","0.984"
"Temperature change on land","Central America","Temperature change","May","2001","0.613"
